City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,11.68,61,70,5.81,NZ,1731271665
1,novodvinsk,64.4165,40.8122,2.86,74,100,2.72,RU,1731271774
2,whitehorse,60.7161,-135.0538,0.01,74,75,5.66,CA,1731271779
3,shihezi,44.3,86.0333,3.41,70,1,1.3,CN,1731271780
4,iqaluit,63.7506,-68.5145,-3.15,63,75,5.14,CA,1731271561
5,capao da canoa,-29.7456,-50.0097,20.53,75,0,8.64,BR,1731271782
6,punta arenas,-53.15,-70.9167,12.06,37,40,12.86,CL,1731271783
7,vila franca do campo,37.7167,-25.4333,20.23,99,90,4.97,PT,1731271784
8,aitape,-3.1374,142.3475,25.02,91,94,2.01,PG,1731271785
9,es castell,39.8795,4.2854,17.38,77,20,8.75,ES,1731271786
10,port-aux-francais,-49.35,70.2167,4.47,84,56,9.87,TF,1731271787
11,jianshui,23.6363,102.8264,15.08,97,16,1.01,CN,1731271788
12,dolores,-36.3132,-57.6792,21.45,60,100,4.29,AR,1731271608
13,kodiak,57.79,-152.4072,3.73,87,100,7.2,US,1731271790
14,nadvoitsy,63.8667,34.3167,-0.88,80,66,2.99,RU,1731271791
15,waitangi,-43.9535,-176.5597,15.46,97,100,3.13,NZ,1731271792
16,minas de marcona,-15.2119,-75.1103,19.12,60,8,5.65,PE,1731271793
17,antonio enes,-16.2325,39.9086,25.84,87,2,4.51,MZ,1731271794
18,puerto natales,-51.7236,-72.4875,10.25,62,100,10.8,CL,1731271796
19,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,86,100,2.0,RU,1731271798
20,antalaha,-14.9003,50.2788,23.89,93,14,1.98,MG,1731271799
21,ushuaia,-54.8,-68.3,7.81,71,75,8.23,AR,1731271800
22,usinsk,65.9939,57.5281,-12.51,95,20,4.75,RU,1731271801
23,yaren,-0.5472,166.916,27.73,73,96,5.07,NR,1731271802
24,ivdel',60.6911,60.4206,-7.28,77,13,4.05,RU,1731271803
25,qaqortoq,60.7167,-46.0333,-2.75,83,100,4.36,GL,1731271804
26,val-d'or,48.1002,-77.7828,5.05,70,100,2.57,CA,1731271557
27,qarah bagh,34.9402,61.7759,6.49,59,0,1.73,AF,1731271806
28,aasiaat,68.7098,-52.8699,-9.62,97,93,1.73,GL,1731271807
29,mendi,-6.1761,143.6513,12.93,95,98,1.31,PG,1731271808
30,bethel,41.3712,-73.414,13.34,48,100,2.24,US,1731271809
31,wailua homesteads,22.0669,-159.378,25.44,85,100,5.66,US,1731271810
32,kimbe,-5.5502,150.1429,25.95,88,99,0.67,PG,1731271811
33,axim,4.8699,-2.2405,25.63,87,16,2.35,GH,1731271813
34,edinburgh of the seven seas,-37.0676,-12.3116,15.82,87,100,13.62,SH,1731271814
35,blackmans bay,-43.0167,147.3167,10.07,87,2,0.89,AU,1731271815
36,antofagasta,-23.65,-70.4,19.6,80,6,3.87,CL,1731271678
37,stanley,54.868,-1.6985,7.88,86,0,4.12,GB,1731271817
38,zhelezinka,53.54,75.3072,-2.72,96,100,3.52,KZ,1731271818
39,al bayda',32.7627,21.7551,13.29,72,70,0.92,LY,1731271819
40,crane,31.3974,-102.3501,23.76,12,0,3.52,US,1731271820
41,kavaratti,10.5669,72.642,28.02,71,84,2.6,IN,1731271821
42,howrah,22.5892,88.3103,24.0,78,0,2.06,IN,1731271822
43,sofifi,0.7349,127.576,26.33,84,80,1.54,ID,1731271823
44,rio grande,-32.035,-52.0986,20.65,74,0,6.89,BR,1731271825
45,sanandaj,35.3144,46.9923,13.01,67,40,0.0,IR,1731271826
46,west island,-12.1568,96.8225,25.99,89,100,7.2,CC,1731271827
47,dudinka,69.4058,86.1778,-23.39,96,81,3.74,RU,1731271828
48,coquimbo,-29.9533,-71.3436,17.85,68,0,5.66,CL,1731271830
49,grytviken,-54.2811,-36.5092,0.12,78,53,1.6,GS,1731271831
50,ocos,14.5094,-92.1933,28.5,73,9,2.3,GT,1731271832
51,olonkinbyen,70.9221,-8.7187,1.46,99,100,9.21,SJ,1731271833
52,ribeira grande,38.5167,-28.7,20.99,83,40,8.23,PT,1731271834
53,bredasdorp,-34.5322,20.0403,15.95,72,98,4.03,ZA,1731271835
54,port elizabeth,-33.918,25.5701,16.16,94,0,1.54,ZA,1731271591
55,adamstown,-25.066,-130.1015,22.02,77,100,6.09,PN,1731271837
56,astrakhan,46.3497,48.0408,4.93,81,100,2.0,RU,1731271838
57,santa maria,-29.6842,-53.8069,29.61,42,0,3.09,BR,1731271711
58,enewetak,11.3474,162.3373,28.1,76,80,9.95,MH,1731271840
59,roma,43.2128,-75.4557,12.08,49,100,2.68,US,1731271768
60,kapa'a,22.0752,-159.319,26.18,86,100,5.66,US,1731271843
61,port mathurin,-19.6833,63.4167,24.38,81,93,8.44,MU,1731271844
62,berdyansk,46.7503,36.7944,6.08,65,8,4.61,UA,1731271845
63,tutoia,-2.7619,-42.2744,26.52,81,84,6.45,BR,1731271846
64,isafjordur,66.0755,-23.124,2.37,90,100,17.74,IS,1731271848
65,ardestan,33.3761,52.3694,13.41,40,37,0.69,IR,1731271849
66,miles city,46.4083,-105.8406,16.54,39,0,6.17,US,1731271850
67,lata,40.1629,-8.3327,13.25,99,74,0.93,PT,1731271851
68,tanumah,27.1,44.1333,23.2,36,7,4.11,SA,1731271852
69,jamestown,42.097,-79.2353,10.01,96,100,5.14,US,1731271747
70,lihue,21.9789,-159.3672,25.77,87,100,5.66,US,1731271854
71,wenchang,30.904,118.4887,14.05,81,0,2.97,CN,1731271855
72,arraial do cabo,-22.9661,-42.0278,23.92,78,40,5.66,BR,1731271856
73,anadyr,64.75,177.4833,-9.72,92,40,5.0,RU,1731271857
74,choibalsan,48.0667,114.5,-3.33,82,95,4.83,MN,1731271858
75,saint-pierre,-21.3393,55.4781,23.82,73,0,2.06,RE,1731271859
76,hermanus,-34.4187,19.2345,13.22,81,79,4.41,ZA,1731271860
77,hawaiian paradise park,19.5933,-154.9731,26.73,81,75,2.57,US,1731271861
78,east ballina,-28.8667,153.5833,22.01,88,88,1.14,AU,1731271862
79,iwon-up,40.3231,128.6553,12.42,79,100,2.1,KP,1731271863
80,gernika-lumo,43.3167,-2.6833,16.88,100,100,1.03,ES,1731271865
81,cadale,2.7603,46.3222,26.66,82,98,2.64,SO,1731271866
82,klyuchi,52.2667,79.1667,-0.07,95,100,7.71,RU,1731271867
83,thompson,55.7435,-97.8558,-0.91,74,75,1.54,CA,1731271868
84,langenthal,47.2153,7.7961,6.69,90,28,1.45,CH,1731271869
85,hamilton,39.1834,-84.5333,17.45,94,100,6.69,US,1731271690
86,lebu,-37.6167,-73.65,13.71,70,13,4.48,CL,1731271871
87,atafu village,-8.5421,-172.5159,28.46,69,82,4.6,TK,1731271872
88,cao bang,22.6667,106.25,18.23,75,28,0.84,VN,1731271873
89,yellowknife,62.456,-114.3525,-9.21,96,75,3.6,CA,1731271874
90,portage la prairie,49.9728,-98.2926,6.18,78,100,6.09,CA,1731271875
91,qamdo,31.1667,97.2333,-2.08,53,0,2.09,CN,1731271876
92,vadso,70.0744,29.7487,4.09,87,75,3.09,NO,1731271878
93,i-n-salah,27.1935,2.4607,24.79,26,100,2.26,DZ,1731271879
94,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1731271880
95,ust'-kut,56.7938,105.7672,-11.95,97,86,1.43,RU,1731271881
96,okhotsk,59.3833,143.3,-10.8,74,100,6.94,RU,1731271882
97,saucillo,28.0167,-105.2833,26.5,12,0,0.94,MX,1731271883
98,kingston,17.997,-76.7936,30.53,74,20,7.2,JM,1731271822
99,papatowai,-46.5619,169.4708,10.2,55,93,7.07,NZ,1731271885
100,melfort,52.8667,-104.6177,0.07,100,100,3.09,CA,1731271886
101,afaahiti,-17.75,-149.2833,24.61,86,100,7.26,PF,1731271887
102,lagunas,-5.2269,-75.6753,29.47,60,100,1.15,PE,1731271888
103,barentu,15.1139,37.5928,26.86,42,8,3.19,ER,1731271889
104,antipino,57.1068,65.7576,-6.84,80,42,5.36,RU,1731271890
